"filename", "language", "Python", "Markdown", "JavaScript", "JavaScript React", "CSS", "SCSS", "HTML", "JSON", "pip requirements", "comment", "blank", "total"
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\extract_patient.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\find_patient.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\find_personal.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\getCookie.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_active_branch_patients.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_history_patient.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 3, 22
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_patient.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_patients.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 3, 22
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_services.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_statistic.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\get_visitors.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 2, 22
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\login.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\setCookie.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\signin.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\rahim\Desktop\hospital\frontend\src\actions\user.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 12, 56
"c:\Users\rahim\Desktop\hospital\frontend\src\components\Layout.jsx", "JavaScript React", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 13, 70
"c:\Users\rahim\Desktop\hospital\frontend\src\components\subcomponents\Cap.jsx", "JavaScript React", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 13, 74
"c:\Users\rahim\Desktop\hospital\frontend\src\components\subcomponents\Footer.jsx", "JavaScript React", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\rahim\Desktop\hospital\frontend\src\components\subcomponents\Sidebar.jsx", "JavaScript React", 0, 0, 0, 90, 0, 0, 0, 0, 0, 2, 13, 105
"c:\Users\rahim\Desktop\hospital\frontend\src\context.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\rahim\Desktop\hospital\frontend\src\css\index.css", "CSS", 0, 0, 0, 0, 438, 0, 0, 0, 0, 8, 92, 538
"c:\Users\rahim\Desktop\hospital\frontend\src\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rahim\Desktop\hospital\frontend\src\css\sign.css", "CSS", 0, 0, 0, 0, 159, 0, 0, 0, 0, 9, 45, 213
"c:\Users\rahim\Desktop\hospital\frontend\src\css\style.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
